age,gender,school_type,parent_education,family_income,study_hours_per_day,attendance_percent,prev_gpa,assignments_completed,extracurricular_activities,internet_access,tutoring_sessions,absences,sleep_hours,final_score,grade,pass_fail,study_efficiency,attendance_risk,parental_support_index,academic_momentum,absence_severity,sleep_quality,total_support
17,Female,Private,Postgraduate,Low,4.99,83.8,7.39,18.0,2,0,6,10.0,8.8,100.0,A,Pass,3.536345776031434,0,3,6.192819999999999,2,1,9
15,Male,Public,Postgraduate,Middle,1.41,51.1,5.85,15.0,3,0,6,11.0,4.7,63.7,C,Pass,9.933774834437086,1,4,2.98935,2,0,10
15,Female,Public,High School,Low,3.74,72.4,7.84,14.0,4,1,3,4.0,6.9,86.0,B,Pass,3.645833333333333,1,1,5.676159999999999,1,0,7
17,Male,Public,Graduate,Middle,1.85,79.2,6.33,9.0,3,1,1,10.0,7.4,62.9,C,Pass,4.615384615384615,0,3,5.0133600000000005,2,1,7
16,Male,Public,Postgraduate,Middle,1.28,45.0,4.55,16.0,2,0,2,16.0,5.4,40.8,F,Fail,11.594202898550723,1,4,2.0475,3,0,6
16,Female,Public,Graduate,High,2.39,74.7,5.77,13.0,2,1,7,7.0,6.3,81.9,B,Pass,5.220883534136545,1,4,4.31019,2,0,14
16,Male,Public,Postgraduate,Middle,5.29,81.9,6.65,20.0,4,1,3,11.0,7.6,100.0,A,Pass,3.710575139146568,0,4,5.446350000000001,2,1,10
18,Female,Public,Graduate,Low,4.93,79.9,8.14,9.0,1,1,5,13.0,7.4,87.5,B,Pass,1.7892644135188869,0,2,6.50386,3,1,10
15,Female,Public,High School,Low,3.86,91.7,6.17,16.0,4,1,7,0.0,6.4,100.0,A,Pass,4.040404040404041,0,1,5.65789,0,0,11
15,Female,Public,High School,High,1.2,73.1,4.32,17.0,5,1,2,7.0,7.3,70.3,C,Pass,13.076923076923077,1,3,3.15792,2,1,8
15,Female,Public,High School,Middle,3.21,96.3,6.6,13.0,3,1,4,0.0,6.9,93.4,A,Pass,3.927492447129909,0,2,6.3557999999999995,0,0,9
18,Female,Public,Graduate,Middle,3.95,61.5,6.7,14.0,1,1,5,10.0,5.8,93.5,A,Pass,3.4567901234567904,1,3,4.1205,2,0,11
15,Female,Private,High School,Low,3.76,77.8,6.83,16.0,3,1,3,7.0,8.4,99.3,A,Pass,4.145077720207254,0,1,5.31374,2,1,7
18,Female,Private,Graduate,Middle,0.73,68.0,8.16,10.0,4,1,1,8.0,7.2,84.9,B,Pass,12.048192771084338,1,3,5.5488,2,1,7
16,Female,Public,Graduate,Low,2.16,55.0,8.33,12.0,1,1,7,8.0,4.8,94.3,A,Pass,5.309734513274336,1,2,4.5815,2,0,12
17,Female,Public,Graduate,High,3.4,89.1,5.43,13.0,4,1,4,0.0,7.6,100.0,A,Pass,3.7142857142857144,0,4,4.83813,0,1,11
15,Female,Public,Postgraduate,Middle,4.3,100.0,5.39,14.0,5,1,5,4.0,6.3,100.0,A,Pass,3.181818181818182,0,4,5.39,1,0,12
15,Female,Public,Postgraduate,High,0.5,65.7,4.63,15.0,0,1,3,18.0,6.7,48.4,D,Pass,25.0,1,5,3.04191,3,0,11
16,Male,Private,High School,Low,3.26,81.8,7.76,16.0,2,1,0,0.0,7.0,100.0,A,Pass,4.761904761904762,0,1,6.3476799999999995,0,1,4
17,Male,Public,Graduate,Middle,3.71,76.9,9.11,16.0,1,0,6,5.0,6.0,100.0,A,Pass,4.199475065616798,0,3,7.00559,1,0,9
18,Female,Private,Graduate,Middle,4.77,68.1,5.93,18.0,2,1,3,13.0,9.2,93.0,A,Pass,3.6960985626283374,1,3,4.038329999999999,3,0,9
17,Female,Public,Graduate,Middle,4.54,50.8,6.07,15.0,0,0,0,15.0,5.2,71.2,C,Pass,3.2327586206896552,1,3,3.08356,3,0,3
16,Female,Public,Postgraduate,High,4.37,67.0,9.14,13.0,1,1,0,4.0,7.1,100.0,A,Pass,2.9082774049217,1,5,6.1238,1,1,8
16,Female,Private,High School,High,2.3,50.5,7.41,11.0,2,1,5,12.0,7.5,73.4,C,Pass,4.583333333333334,1,3,3.74205,2,1,11
17,Female,Private,High School,High,0.64,91.4,7.29,11.0,2,0,3,4.0,7.0,78.3,B,Pass,14.864864864864865,0,3,6.663060000000001,1,1,6
18,Female,Private,Postgraduate,Middle,2.91,71.5,4.36,11.0,1,1,6,7.0,6.8,72.6,C,Pass,3.6544850498338866,1,4,3.1174,2,0,13
18,Female,Private,High School,Low,5.0,74.3,7.72,15.0,2,0,3,7.0,6.5,99.9,A,Pass,2.9411764705882355,1,1,5.73596,2,0,4
15,Female,Public,Graduate,Low,5.59,94.6,4.83,15.0,2,1,0,2.0,6.0,100.0,A,Pass,2.6362038664323375,0,2,4.56918,0,0,5
18,Male,Private,Postgraduate,High,4.57,61.4,4.46,20.0,1,0,2,9.0,6.0,82.4,B,Pass,4.282655246252677,1,5,2.7384399999999998,2,0,7
17,Female,Public,No Education,Low,4.14,65.4,5.88,7.0,2,1,4,14.0,8.4,60.9,C,Pass,1.6509433962264153,1,0,3.84552,3,1,7
16,Male,Private,Postgraduate,Middle,4.07,77.7,5.45,15.0,2,1,1,4.0,6.5,88.2,B,Pass,3.597122302158273,0,4,4.23465,1,0,8
15,Female,Public,High School,Middle,2.67,87.9,6.1,19.0,3,1,3,0.0,9.6,100.0,A,Pass,6.859205776173285,0,2,5.3619,0,0,8
15,Female,Private,Graduate,Middle,3.3,81.9,3.91,15.0,5,1,4,17.0,7.8,61.7,C,Pass,4.411764705882353,0,3,3.2022900000000005,3,1,10
16,Male,Public,Graduate,High,6.0,86.2,8.23,20.0,3,0,4,4.0,4.0,100.0,A,Pass,3.278688524590164,0,4,7.09426,1,0,8
18,Female,Public,Postgraduate,Middle,2.09,71.9,8.53,13.0,0,1,7,0.0,8.1,100.0,A,Pass,5.936073059360731,1,4,6.13307,0,1,14
16,Male,Public,No Education,Middle,5.92,88.3,3.0,15.0,3,0,2,10.0,6.9,80.3,B,Pass,2.4916943521594686,0,1,2.6489999999999996,2,0,3
18,Female,Private,Graduate,Low,3.02,76.6,8.26,7.0,3,0,4,13.0,5.3,73.5,C,Pass,2.2435897435897436,0,2,6.327159999999999,3,0,6
16,Female,Public,Graduate,Middle,5.49,65.5,5.04,18.0,0,0,3,13.0,8.6,77.7,B,Pass,3.2200357781753133,1,3,3.3012,3,1,6
17,Male,Public,Graduate,Low,1.39,69.4,8.04,10.0,2,1,5,12.0,6.5,86.6,B,Pass,6.7114093959731544,1,2,5.57976,2,0,10
18,Female,Public,Graduate,Middle,4.38,61.5,6.38,13.0,2,1,5,22.0,6.4,73.7,C,Pass,2.9017857142857144,1,3,3.9237,3,0,11
17,Male,Public,High School,High,2.39,72.9,6.55,12.0,3,0,7,3.0,7.5,93.5,A,Pass,4.8192771084337345,1,3,4.7749500000000005,1,1,10
15,Female,Private,High School,High,1.38,61.4,6.17,17.0,0,0,4,12.0,8.4,62.8,C,Pass,11.486486486486486,1,3,3.7883799999999996,2,1,7
16,Male,Public,High School,Low,3.83,100.0,8.68,20.0,2,0,3,10.0,7.1,100.0,A,Pass,5.089058524173028,0,1,8.68,2,1,4
15,Male,Private,Graduate,Middle,5.01,78.9,4.27,17.0,4,1,3,17.0,7.1,85.3,B,Pass,3.326810176125245,0,3,3.3690299999999995,3,1,9
15,Female,Public,High School,High,2.23,50.1,7.59,12.0,1,1,0,13.0,6.2,63.2,C,Pass,5.150214592274678,1,3,3.8025900000000004,3,0,6
15,Female,Public,High School,Low,1.25,66.2,8.48,8.0,1,0,2,20.0,8.4,51.8,D,Pass,5.925925925925926,1,1,5.613760000000001,3,1,3
15,Male,Private,Postgraduate,Low,3.36,82.4,7.79,16.0,5,1,6,9.0,7.1,100.0,A,Pass,4.624277456647399,0,3,6.418960000000001,2,1,12
16,Female,Private,No Education,Low,3.37,99.6,10.0,20.0,1,1,1,8.0,6.7,100.0,A,Pass,5.763688760806916,0,0,9.96,2,0,4
15,Female,Public,Postgraduate,Middle,4.32,68.6,5.55,15.0,3,1,6,13.0,6.6,84.4,B,Pass,3.3936651583710407,1,4,3.8072999999999997,3,0,13
16,Female,Public,Graduate,Low,4.92,55.5,8.22,9.0,1,1,7,15.0,8.2,99.4,A,Pass,1.7928286852589643,1,2,4.5621,3,1,12
16,Male,Private,Graduate,High,3.41,87.0,6.31,16.0,1,1,0,15.0,6.7,82.7,B,Pass,4.5584045584045585,0,4,5.489699999999999,3,0,7
17,Male,Public,High School,Middle,6.28,62.6,8.72,20.0,4,1,1,9.0,8.2,100.0,A,Pass,3.134796238244514,1,2,5.4587200000000005,2,1,6
18,Male,Private,No Education,Middle,3.84,69.5,6.49,10.0,2,1,6,19.0,6.4,73.1,C,Pass,2.5380710659898478,1,1,4.51055,3,0,10
18,Male,Private,Graduate,Low,2.98,69.6,5.8,14.0,4,1,3,19.0,7.9,65.9,C,Pass,4.545454545454545,1,2,4.0367999999999995,3,1,8
16,Male,Private,Graduate,Middle,1.08,66.7,8.85,13.0,3,1,5,17.0,7.2,90.8,A,Pass,11.016949152542372,1,3,5.90295,3,1,11
17,Male,Public,Graduate,Middle,3.11,84.2,5.62,14.0,1,1,0,4.0,5.9,89.4,B,Pass,4.361370716510904,0,3,4.7320400000000005,1,0,6
16,Male,Private,High School,Middle,3.0,63.2,3.96,12.0,2,0,6,12.0,6.9,46.1,D,Pass,3.8709677419354835,1,2,2.50272,2,0,8
16,Male,Public,Graduate,Middle,4.94,75.2,5.57,19.0,5,0,7,1.0,4.4,100.0,A,Pass,3.7698412698412698,0,3,4.18864,0,0,10
16,Male,Public,Graduate,Middle,4.19,76.9,7.61,14.0,5,1,4,5.0,6.1,100.0,A,Pass,3.2634032634032635,0,3,5.8520900000000005,1,0,10
17,Female,Public,Graduate,High,1.73,71.9,9.01,8.0,1,1,7,12.0,5.1,84.1,B,Pass,4.371584699453551,1,4,6.478190000000001,2,0,14
18,Male,Public,Graduate,High,3.76,77.2,6.7,9.0,1,1,7,0.0,9.4,96.4,A,Pass,2.3316062176165806,0,4,5.1724,0,0,14
17,Female,Private,Graduate,Middle,4.51,84.6,8.87,19.0,5,1,7,3.0,5.1,100.0,A,Pass,4.121475054229935,0,3,7.50402,1,0,13
15,Female,Private,Graduate,Low,5.79,94.5,4.06,19.0,5,1,4,11.0,10.0,98.0,A,Pass,3.2258064516129035,0,2,3.8366999999999996,2,0,9
17,Female,Private,No Education,Low,4.83,84.9,5.7,16.0,3,0,1,4.0,7.6,61.8,C,Pass,3.245436105476674,0,0,4.839300000000001,1,1,1
17,Male,Public,Graduate,Low,4.64,85.2,5.98,15.0,1,1,3,10.0,6.4,85.3,B,Pass,3.164556962025317,0,2,5.09496,2,0,8
17,Male,Public,No Education,Middle,3.59,51.5,6.29,13.0,5,1,5,17.0,8.0,55.1,D,Pass,3.5230352303523036,1,1,3.23935,3,1,9
17,Male,Public,High School,Middle,4.08,77.5,6.65,12.0,0,0,1,5.0,6.2,88.3,B,Pass,2.870813397129187,0,2,5.15375,1,0,3
18,Male,Private,High School,Middle,5.37,87.8,7.74,15.0,5,0,6,3.0,5.3,100.0,A,Pass,2.7422303473491776,0,2,6.79572,1,0,8
15,Female,Public,No Education,High,1.5,79.9,5.7,6.0,2,0,6,7.0,7.1,59.8,D,Pass,3.75,0,2,4.5543000000000005,2,1,8
18,Male,Private,High School,High,2.98,63.0,6.75,12.0,2,1,5,1.0,7.8,92.4,A,Pass,3.896103896103896,1,3,4.2525,0,1,11
18,Male,Public,High School,High,2.34,61.6,6.42,12.0,0,1,6,16.0,8.5,73.3,C,Pass,4.918032786885246,1,3,3.95472,3,1,12
17,Male,Public,Graduate,Middle,4.07,68.1,4.83,17.0,3,1,2,9.0,7.6,73.4,C,Pass,4.07673860911271,1,3,3.28923,2,1,8
16,Male,Private,Postgraduate,Middle,5.35,88.6,6.3,17.0,1,1,5,8.0,6.4,100.0,A,Pass,3.119266055045872,0,4,5.581799999999999,2,0,12
16,Male,Public,No Education,Low,2.6,87.8,6.24,16.0,1,0,4,6.0,8.7,83.3,B,Pass,5.925925925925926,0,0,5.478719999999999,1,1,4
18,Female,Private,Postgraduate,Low,0.5,59.9,6.2,15.0,5,1,6,11.0,8.4,75.0,B,Pass,25.0,1,3,3.7138,2,1,12
18,Male,Private,Graduate,Low,2.88,86.8,6.56,17.0,2,1,6,5.0,7.3,100.0,A,Pass,5.704697986577181,0,2,5.694079999999999,1,1,11
17,Female,Public,High School,Middle,4.87,81.0,6.64,18.0,3,1,0,7.0,8.5,100.0,A,Pass,3.6217303822937628,0,2,5.378399999999999,2,1,5
18,Male,Public,No Education,Middle,4.31,75.6,5.72,16.0,3,1,0,15.0,9.6,74.2,C,Pass,3.6281179138322,0,1,4.324319999999999,3,0,4
17,Female,Public,Graduate,High,4.14,73.8,8.79,12.0,3,1,0,8.0,6.3,100.0,A,Pass,2.8301886792452833,1,4,6.4870199999999985,2,0,7
16,Male,Private,Graduate,Low,3.08,84.9,4.39,16.0,5,1,5,6.0,5.9,81.0,B,Pass,5.031446540880503,0,2,3.72711,1,0,10
16,Male,Public,Graduate,Middle,1.58,74.1,5.2,17.0,1,1,4,1.0,6.3,85.3,B,Pass,10.119047619047619,1,3,3.8531999999999997,0,0,10
15,Female,Public,No Education,Middle,4.27,100.0,10.0,16.0,3,1,5,0.0,5.4,100.0,A,Pass,3.661327231121282,0,1,10.0,0,0,9
16,Female,Public,No Education,Low,2.25,58.5,4.63,19.0,5,1,7,20.0,7.7,54.3,D,Pass,8.085106382978724,1,0,2.7085500000000002,3,1,10
18,Female,Private,High School,Middle,6.78,92.6,4.06,14.0,5,0,3,4.0,5.1,95.8,A,Pass,2.0348837209302326,0,2,3.7595599999999996,1,0,5
16,Male,Public,High School,Low,4.36,69.6,7.82,12.0,0,1,4,4.0,8.5,100.0,A,Pass,2.690582959641256,1,1,5.44272,1,1,8
17,Female,Private,High School,Middle,2.63,59.3,3.0,16.0,4,1,4,7.0,6.2,62.2,C,Pass,5.86080586080586,1,2,1.7789999999999997,2,0,9
16,Male,Private,High School,Middle,2.58,72.1,6.08,14.0,3,1,7,5.0,8.6,78.8,B,Pass,5.223880597014925,1,2,4.38368,1,1,12
15,Male,Public,Graduate,Low,3.36,76.6,10.0,18.0,4,1,5,12.0,4.0,100.0,A,Pass,5.202312138728324,0,2,7.66,2,0,10
16,Female,Public,Postgraduate,Low,3.14,98.9,3.72,14.0,1,1,5,5.0,6.5,78.7,B,Pass,4.320987654320987,0,3,3.6790800000000004,1,0,11
