student_id,age,gender,school_type,parent_education,family_income,study_hours_per_day,attendance_percent,prev_gpa,assignments_completed,extracurricular_activities,internet_access,tutoring_sessions,absences,sleep_hours,final_score,grade,pass_fail
STU0099,15,Female,Public,Postgraduate,High,0.5,65.7,4.63,15,0,1,3,18,6.7,48.4,D,Pass
STU0100,16,Male,Private,High School,Low,3.26,81.8,7.76,16,2,1,0,0,7.0,100.0,A,Pass
STU0101,17,Male,Public,Graduate,Middle,3.71,76.9,9.11,16,1,0,6,5,6.0,100.0,A,Pass
STU0102,18,Female,Private,Graduate,Middle,4.77,68.1,5.93,18,2,1,3,13,9.2,93.0,A,Pass
STU0103,17,Female,Public,Graduate,Middle,4.54,50.8,6.07,15,0,0,0,15,5.2,71.2,C,Pass
STU0104,16,Female,Public,Postgraduate,High,4.37,67.0,9.14,13,1,1,0,4,7.1,100.0,A,Pass
STU0105,16,Female,Private,High School,High,2.3,50.5,7.41,11,2,1,5,12,7.5,73.4,C,Pass
STU0106,17,Female,Private,High School,High,0.64,91.4,7.29,11,2,0,3,4,7.0,78.3,B,Pass
STU0107,18,Female,Private,Postgraduate,Middle,2.91,71.5,4.36,11,1,1,6,7,6.8,72.6,C,Pass
STU0108,18,Female,Private,High School,Low,5.0,74.3,7.72,15,2,0,3,7,6.5,99.9,A,Pass
STU0109,15,Female,Public,Graduate,Low,5.59,94.6,4.83,15,2,1,0,2,6.0,100.0,A,Pass
STU0110,18,Male,Private,Postgraduate,High,4.57,61.4,4.46,20,1,0,2,9,6.0,82.4,B,Pass
STU0111,17,Female,Public,No Education,Low,4.14,65.4,5.88,7,2,1,4,14,8.4,60.9,C,Pass
STU0112,16,Male,Private,Postgraduate,Middle,4.07,77.7,5.45,15,2,1,1,4,6.5,88.2,B,Pass
STU0113,15,Female,Public,High School,Middle,2.67,87.9,6.1,19,3,1,3,0,9.6,100.0,A,Pass
STU0114,15,Female,Private,Graduate,Middle,3.3,81.9,3.91,15,5,1,4,17,7.8,61.7,C,Pass
STU0115,16,Male,Public,Graduate,High,6.0,86.2,8.23,20,3,0,4,4,4.0,100.0,A,Pass
STU0116,18,Female,Public,Postgraduate,Middle,2.09,71.9,8.53,13,0,1,7,0,8.1,100.0,A,Pass
STU0117,16,Male,Public,No Education,Middle,5.92,88.3,3.0,15,3,0,2,10,6.9,80.3,B,Pass
STU0118,18,Female,Private,Graduate,Low,3.02,76.6,8.26,7,3,0,4,13,5.3,73.5,C,Pass
STU0119,16,Female,Public,Graduate,Middle,5.49,65.5,5.04,18,0,0,3,13,8.6,77.7,B,Pass
STU0120,17,Male,Public,Graduate,Low,1.39,69.4,8.04,10,2,1,5,12,6.5,86.6,B,Pass
STU0121,18,Female,Public,Graduate,Middle,4.38,61.5,6.38,13,2,1,5,22,6.4,73.7,C,Pass
STU0122,17,Male,Public,High School,High,2.39,72.9,6.55,12,3,0,7,3,7.5,93.5,A,Pass
STU0123,15,Female,Private,High School,High,1.38,61.4,6.17,17,0,0,4,12,8.4,62.8,C,Pass
STU0124,16,Male,Public,High School,Low,3.83,100.0,8.68,20,2,0,3,10,7.1,100.0,A,Pass
STU0125,15,Male,Private,Graduate,Middle,5.01,78.9,4.27,17,4,1,3,17,7.1,85.3,B,Pass
STU0126,15,Female,Public,High School,High,2.23,50.1,7.59,12,1,1,0,13,6.2,63.2,C,Pass
STU0127,15,Female,Public,High School,Low,1.25,66.2,8.48,8,1,0,2,20,8.4,51.8,D,Pass
STU0128,15,Male,Private,Postgraduate,Low,3.36,82.4,7.79,16,5,1,6,9,7.1,100.0,A,Pass
STU0129,16,Female,Private,No Education,Low,3.37,99.6,10.0,20,1,1,1,8,6.7,100.0,A,Pass
STU0130,15,Female,Public,Postgraduate,Middle,4.32,68.6,5.55,15,3,1,6,13,6.6,84.4,B,Pass
STU0131,16,Female,Public,Graduate,Low,4.92,55.5,8.22,9,1,1,7,15,8.2,99.4,A,Pass
STU0132,16,Male,Private,Graduate,High,3.41,87.0,6.31,16,1,1,0,15,6.7,82.7,B,Pass
STU0133,17,Male,Public,High School,Middle,6.28,62.6,8.72,20,4,1,1,9,8.2,100.0,A,Pass
STU0134,18,Male,Private,No Education,Middle,3.84,69.5,6.49,10,2,1,6,19,6.4,73.1,C,Pass
STU0135,18,Male,Private,Graduate,Low,2.98,69.6,5.8,14,4,1,3,19,7.9,65.9,C,Pass
STU0136,16,Male,Private,Graduate,Middle,1.08,66.7,8.85,13,3,1,5,17,7.2,90.8,A,Pass
STU0137,17,Male,Public,Graduate,Middle,3.11,84.2,5.62,14,1,1,0,4,5.9,89.4,B,Pass
STU0138,16,Male,Private,High School,Middle,3.0,63.2,3.96,12,2,0,6,12,6.9,46.1,D,Pass
STU0139,16,Male,Public,Graduate,Middle,4.94,75.2,5.57,19,5,0,7,1,4.4,100.0,A,Pass
STU0140,16,Male,Public,Graduate,Middle,4.19,76.9,7.61,14,5,1,4,5,6.1,100.0,A,Pass
STU0141,17,Female,Public,Graduate,High,1.73,71.9,9.01,8,1,1,7,12,5.1,84.1,B,Pass
STU0142,18,Male,Public,Graduate,High,3.76,77.2,6.7,9,1,1,7,0,9.4,96.4,A,Pass
STU0143,17,Female,Private,Graduate,Middle,4.51,84.6,8.87,19,5,1,7,3,5.1,100.0,A,Pass
STU0144,15,Female,Private,Graduate,Low,5.79,94.5,4.06,19,5,1,4,11,10.0,98.0,A,Pass
STU0145,17,Female,Private,No Education,Low,4.83,84.9,5.7,16,3,0,1,4,7.6,61.8,C,Pass
STU0146,17,Male,Public,Graduate,Low,4.64,85.2,5.98,15,1,1,3,10,6.4,85.3,B,Pass
STU0147,17,Male,Public,No Education,Middle,3.59,51.5,6.29,13,5,1,5,17,8.0,55.1,D,Pass
STU0148,17,Male,Public,High School,Middle,4.08,77.5,6.65,12,0,0,1,5,6.2,88.3,B,Pass
STU0149,18,Male,Private,High School,Middle,5.37,87.8,7.74,15,5,0,6,3,5.3,100.0,A,Pass
STU0150,15,Female,Public,No Education,High,1.5,79.9,5.7,6,2,0,6,7,7.1,59.8,D,Pass
STU0151,18,Male,Private,High School,High,2.98,63.0,6.75,12,2,1,5,1,7.8,92.4,A,Pass
STU0152,18,Male,Public,High School,High,2.34,61.6,6.42,12,0,1,6,16,8.5,73.3,C,Pass
STU0153,17,Male,Public,Graduate,Middle,4.07,68.1,4.83,17,3,1,2,9,7.6,73.4,C,Pass
STU0154,16,Male,Private,Postgraduate,Middle,5.35,88.6,6.3,17,1,1,5,8,6.4,100.0,A,Pass
STU0155,16,Male,Public,No Education,Low,2.6,87.8,6.24,16,1,0,4,6,8.7,83.3,B,Pass
STU0156,18,Female,Private,Postgraduate,Low,0.5,59.9,6.2,15,5,1,6,11,8.4,75.0,B,Pass
STU0157,18,Male,Private,Graduate,Low,2.88,86.8,6.56,17,2,1,6,5,7.3,100.0,A,Pass
STU0158,17,Female,Public,High School,Middle,4.87,81.0,6.64,18,3,1,0,7,8.5,100.0,A,Pass
STU0159,18,Male,Public,No Education,Middle,4.31,75.6,5.72,16,3,1,0,15,9.6,74.2,C,Pass
STU0160,17,Female,Public,Graduate,High,4.14,73.8,8.79,12,3,1,0,8,6.3,100.0,A,Pass
STU0161,16,Male,Private,Graduate,Low,3.08,84.9,4.39,16,5,1,5,6,5.9,81.0,B,Pass
STU0162,16,Male,Public,Graduate,Middle,1.58,74.1,5.2,17,1,1,4,1,6.3,85.3,B,Pass
STU0163,15,Female,Public,No Education,Middle,4.27,100.0,10.0,16,3,1,5,0,5.4,100.0,A,Pass
STU0164,16,Female,Public,No Education,Low,2.25,58.5,4.63,19,5,1,7,20,7.7,54.3,D,Pass
STU0165,18,Female,Private,High School,Middle,6.78,92.6,4.06,14,5,0,3,4,5.1,95.8,A,Pass
STU0166,16,Male,Public,High School,Low,4.36,69.6,7.82,12,0,1,4,4,8.5,100.0,A,Pass
STU0167,17,Female,Private,High School,Middle,2.63,59.3,3.0,16,4,1,4,7,6.2,62.2,C,Pass
STU0168,16,Male,Private,High School,Middle,2.58,72.1,6.08,14,3,1,7,5,8.6,78.8,B,Pass
STU0169,15,Male,Public,Graduate,Low,3.36,76.6,10.0,18,4,1,5,12,4.0,100.0,A,Pass
STU0170,16,Female,Public,Postgraduate,Low,3.14,98.9,3.72,14,1,1,5,5,6.5,78.7,B,Pass
STU0171,17,Female,Private,High School,Middle,5.18,77.3,3.0,14,5,0,0,0,5.4,64.6,C,Pass
STU0172,17,Male,Public,Postgraduate,High,3.78,58.9,3.8,14,3,1,4,12,8.6,71.4,C,Pass
STU0173,18,Male,Private,High School,Middle,2.4,75.8,8.12,9,2,1,0,8,9.0,68.8,C,Pass
STU0174,16,Female,Public,Graduate,Middle,6.34,52.4,8.52,15,1,1,3,9,4.2,100.0,A,Pass
STU0175,17,Female,Public,High School,Middle,3.57,73.8,5.58,18,0,0,2,6,8.0,82.4,B,Pass
STU0176,15,Female,Private,Graduate,High,4.65,78.7,7.73,19,0,0,0,13,8.3,94.5,A,Pass
STU0177,18,Male,Public,Postgraduate,High,2.59,84.2,9.0,14,4,0,5,7,7.4,100.0,A,Pass
STU0178,15,Male,Public,Graduate,Middle,4.04,91.2,9.72,10,5,1,6,0,7.7,100.0,A,Pass
STU0179,16,Male,Public,High School,Middle,3.97,68.8,6.06,14,4,1,1,8,7.6,91.7,A,Pass
STU0180,16,Male,Public,Graduate,High,0.67,64.2,3.0,7,2,1,2,10,8.0,35.0,F,Fail
STU0181,16,Male,Public,High School,Middle,6.52,72.6,5.02,20,2,1,3,10,5.7,99.2,A,Pass
STU0182,18,Male,Public,Postgraduate,Middle,5.44,63.9,5.73,15,0,1,6,4,8.4,100.0,A,Pass
STU0183,17,Female,Private,Graduate,Low,2.9,77.9,6.03,11,3,1,5,3,7.3,88.5,B,Pass
STU0184,18,Male,Public,High School,High,1.85,50.9,6.16,13,0,1,2,20,7.2,53.1,D,Pass
STU0185,15,Male,Private,Graduate,High,4.02,70.3,8.51,13,0,1,7,9,7.7,100.0,A,Pass
STU0186,18,Male,Public,Graduate,Low,3.63,60.5,8.79,19,2,1,5,8,5.5,100.0,A,Pass
STU0187,15,Female,Private,No Education,Middle,4.03,84.8,6.19,13,4,1,0,1,5.1,84.3,B,Pass
STU0188,18,Male,Public,Graduate,Middle,3.79,100.0,8.48,11,2,1,6,4,6.9,100.0,A,Pass
STU0189,17,Male,Private,High School,Low,4.26,57.8,7.14,9,5,1,5,10,8.9,82.4,B,Pass
STU0190,15,Female,Public,Graduate,High,5.67,53.7,6.62,17,2,1,6,16,5.6,99.8,A,Pass
STU0191,16,Male,Public,Graduate,Low,4.35,75.7,8.13,14,2,0,3,4,7.2,100.0,A,Pass
STU0192,16,Male,Public,Graduate,Low,1.93,70.5,6.63,8,0,0,1,3,6.1,69.9,C,Pass
STU0193,18,Male,Public,Graduate,Middle,5.54,84.4,10.0,20,3,0,0,6,6.0,100.0,A,Pass
STU0194,16,Male,Public,Graduate,Middle,5.96,75.7,3.91,19,0,1,0,7,7.6,91.4,A,Pass
STU0195,15,Male,Public,High School,Low,8.23,86.2,5.57,20,1,0,6,8,7.9,100.0,A,Pass
STU0196,16,Female,Private,Graduate,Middle,1.81,75.5,6.27,17,2,0,3,12,6.1,79.4,B,Pass
STU0197,17,Female,Public,High School,Middle,3.86,91.7,7.29,17,2,1,3,1,8.7,100.0,A,Pass
STU0198,17,Female,Public,Graduate,Low,0.5,40.0,8.78,8,1,1,2,20,7.5,44.3,F,Fail
STU0199,18,Male,Public,High School,Low,4.33,72.0,6.46,12,2,1,1,6,6.7,81.1,B,Pass
STU0200,15,Male,Private,High School,Middle,2.68,75.7,3.94,16,2,1,5,10,7.4,68.3,C,Pass
STU0201,17,Male,Public,Graduate,Low,6.39,69.9,8.02,19,5,0,2,10,9.4,100.0,A,Pass
STU0202,17,Female,Public,No Education,High,2.34,96.5,7.86,14,2,0,5,0,7.9,95.6,A,Pass
STU0203,15,Male,Public,Graduate,High,0.97,57.9,3.0,9,1,1,5,9,6.2,30.8,F,Fail
STU0204,16,Male,Private,High School,High,2.79,72.3,6.49,15,0,1,5,10,7.0,80.9,B,Pass
STU0205,16,Female,Private,No Education,Low,0.54,74.5,3.64,9,2,1,2,13,7.2,13.1,F,Fail
STU0206,18,Male,Public,Graduate,High,4.63,69.5,5.3,16,3,0,0,14,7.8,65.9,C,Pass
STU0207,16,Female,Private,No Education,Middle,0.5,40.0,4.87,15,1,1,3,13,7.3,42.8,F,Fail
STU0208,15,Female,Private,High School,Middle,3.54,68.7,7.96,13,4,1,0,5,9.3,93.8,A,Pass
STU0209,17,Female,Public,Graduate,Low,0.5,81.4,6.71,6,5,0,1,2,6.7,50.6,D,Pass
STU0210,16,Male,Private,No Education,Low,3.02,68.5,4.19,11,1,0,2,6,4.9,42.9,F,Fail
STU0211,18,Male,Public,Graduate,Middle,5.97,69.7,8.08,20,0,1,7,0,7.3,100.0,A,Pass
STU0212,16,Male,Public,No Education,Middle,4.04,90.5,3.92,16,1,1,1,7,6.5,79.4,B,Pass
STU0213,15,Male,Public,High School,Low,2.2,66.2,7.09,13,4,1,3,8,5.2,74.1,C,Pass
STU0214,18,Male,Public,Graduate,Middle,3.45,67.2,5.03,13,5,1,3,12,6.2,74.3,C,Pass
STU0215,16,Male,Public,High School,Low,3.53,77.3,5.84,16,3,1,4,5,6.6,83.9,B,Pass
STU0216,18,Male,Private,High School,Middle,4.21,88.7,7.41,13,4,1,1,3,8.4,100.0,A,Pass
STU0217,15,Female,Public,High School,Middle,1.45,93.8,7.44,13,1,1,7,0,5.2,93.8,A,Pass
STU0218,17,Male,Public,High School,High,4.39,90.1,8.91,13,4,1,0,3,7.4,100.0,A,Pass
STU0219,15,Female,Public,Graduate,High,0.5,83.4,6.35,8,1,0,6,1,9.7,76.9,B,Pass
STU0220,15,Male,Private,High School,Middle,2.56,64.6,7.05,11,3,1,7,11,6.8,70.0,C,Pass
STU0221,15,Male,Public,Graduate,Middle,2.77,57.4,5.71,12,3,1,1,20,6.8,53.0,D,Pass
STU0222,15,Male,Public,Postgraduate,Middle,4.45,78.8,6.83,15,0,0,2,9,7.9,99.9,A,Pass
STU0223,17,Female,Public,High School,High,3.53,76.7,7.29,15,3,1,3,8,7.6,100.0,A,Pass
STU0224,17,Female,Public,Postgraduate,Middle,1.39,52.5,6.32,1,2,1,3,8,8.7,61.4,C,Pass
STU0225,18,Female,Private,High School,Low,2.02,67.9,3.25,10,4,1,1,12,6.8,34.1,F,Fail
STU0226,16,Female,Private,Postgraduate,Low,3.8,81.9,7.1,14,4,1,7,9,7.8,100.0,A,Pass
STU0227,17,Male,Public,No Education,Middle,3.38,80.1,7.16,19,1,1,1,7,7.9,85.3,B,Pass
STU0228,17,Female,Private,Graduate,Middle,2.63,80.0,5.28,10,3,0,5,7,6.6,72.2,C,Pass
STU0229,16,Male,Public,Graduate,High,2.78,77.2,4.19,14,0,1,1,6,6.9,71.3,C,Pass
STU0230,17,Male,Private,High School,Low,4.54,70.5,9.16,20,0,1,5,12,7.0,100.0,A,Pass
STU0231,15,Female,Public,Graduate,Middle,2.72,65.0,7.38,10,0,0,7,17,5.5,70.9,C,Pass
STU0232,15,Female,Public,Graduate,High,3.37,56.6,6.09,16,5,0,2,15,6.5,68.4,C,Pass
STU0233,16,Female,Public,No Education,High,6.75,100.0,4.45,16,2,1,2,0,8.8,100.0,A,Pass
STU0234,18,Female,Private,High School,Middle,1.36,68.8,5.02,10,3,1,0,5,8.2,55.5,D,Pass
STU0235,18,Female,Public,Graduate,Middle,0.72,63.3,8.84,9,0,1,1,15,6.3,59.8,D,Pass
STU0236,16,Female,Public,Graduate,Middle,4.68,64.6,6.75,14,2,0,7,6,7.0,100.0,A,Pass
STU0237,16,Female,Public,Postgraduate,High,2.48,96.9,5.51,20,4,0,7,2,8.2,100.0,A,Pass
STU0238,15,Female,Private,Graduate,Low,3.02,57.5,7.42,16,1,1,0,11,7.5,76.4,B,Pass
STU0239,18,Male,Public,Postgraduate,High,2.33,65.1,5.03,16,3,0,6,5,8.0,79.7,B,Pass
STU0240,17,Female,Private,Graduate,Middle,3.11,80.1,9.2,16,3,1,7,10,7.6,100.0,A,Pass
STU0241,15,Female,Private,High School,Middle,5.9,91.2,8.94,13,5,1,4,6,7.3,100.0,A,Pass
STU0242,16,Male,Public,High School,Low,4.7,93.0,5.66,17,4,0,2,0,6.8,91.7,A,Pass
STU0243,18,Female,Private,Graduate,Middle,4.79,100.0,5.37,19,3,0,3,2,5.6,100.0,A,Pass
